,number,active_ingredients,inactive_ingredients,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
322,397606690,"[' Potassium Nitrate (5%)', 'Sodium Fluoride (0.24%) (0.14% w/v Fluoride Ion). Purpose: Antisensitivity', 'Anticavity. ']","[' Water', 'Hydrated Silica', 'Glycerin', 'Sorbitol', 'PEG-12', 'PVM/MA Copolymer', 'Sodium Lauryl Sulfate', 'Flavor', 'Poloxamer 407', 'Trisodium Phosphate', 'Sodium Hydroxide', 'Cellulose Gum', 'Sodium Saccharin', 'gum xanthan', 'FD&C Blue 1.']","Colgate Sensitive Toothpaste, Lasting Fresh, 6 ounce",$4.98 ,60,13,2,0,1,0
323,46065792,['Active Ingredients: Sodium Fluoride (0.24%) (0.14% W/V Fluoride Ion). Purpose: Anticavity.'],[],"Colgate 2-in-1 Whitening Toothpaste Gel and Mouthwash, Icy Blast - 4.6 Ounce",$8.56 ,206,1,0,0,0,0
324,171660657,[' Stannous Fluoride 0.454% (0.14% W/V Fluoride Ion) '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Sodium Lauryl Sulfate', 'Carrageenan', 'Sodium Gluconate', 'Flavor', 'gum xanthan', 'Zinc Citrate', 'Stannous Chloride', 'Sodium Hydroxide', 'Sodium Saccharin', 'Sucralose', 'Titanium Dioxide', 'Blue 1']","Crest Pro-Health Sensitive & Enamel Shield Toothpaste, 4.6 oz",$2.97 ,206,44,17,9,5,12
325,639932088,"['Aqua', 'Glycerin', 'Hydrated Silica', 'Sodium Bicarbonate', 'Sodium Lauryl Sulfate', 'Flavor (Aroma)', 'titanium Dioxide (CI 77891)', 'Triethanolamine', 'Cellulose Gum', 'Chlorhexidine Digluconate', 'Hydroxyethylcellulose', 'Mentha Piperita', 'Sodium Saccharin']",[],Elgydium Whitening Toothpaste 75ml,$10.99 ,206,1,0,0,0,0
326,564604141,[''],[],"4 Pack - Crest 3D White Vivid Fluoride Anticavity Toothpaste, Radiant Mint  0.85 oz",UNKNOWN,206,189,34,16,7,12
327,204711423,[''],[],"Listerine Essential Care Toothpaste, Powerful Mint Gel, 4.2-Ounce Tubes (Pack of 4)",$24.51 ,220,72,12,1,2,1
328,528977428,"['Active: Potassium Nitrate (5%)*--Antihypersensitivity', 'Sodium Fluoride (0.15% w/V Fluoride Ion)--Anticavity. Inactive: Cocoamidopropyl Betaine', 'Flavor', 'Glycerin', 'Hydrated Silica', 'PEG-8', 'Pentasodium Triphosphate', 'Sodium Hydroxide', 'Sodium Methyl Cocoyl Taurate', 'Sodium Saccharin', 'Sorbitol', 'Sucralose', 'Titanium Dioxide', 'Water', 'gum xanthan.']",[],"(2 pack) Sensodyne Sensitivity Toothpaste, Extra Whitening for Sensitive Teeth, 4 ounce",$10.98 ,206,94,34,4,2,2
329,17167870,[' Sodium Fluoride 0.243% (0.16% W/V Fluoride Ion). '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'disodium pytophosphate', 'Sodium Lauryl Sulfate', 'Sodium Hydroxide', 'Flavor', 'gum xanthan', 'Sodium Saccharin', 'Carbomer', 'Copernicia Cerifera (Carnauba) Wax', 'Titanium Dioxide', 'Blue 1', 'Yellow 5.']",Crest Complete Whitening + Deep Clean Effervescent Mint Toothpaste (Choose Count),$9.25 ,206,29,10,6,1,6
330,740173183,[' Sodium fluoride 0.243% (0.15% w/v fluoride ion) '],"[' sorbitol', 'water', 'hydrated silica', 'sodium lauryl sulfate', 'trisodium phosphate', 'flavor', 'sodium phosphate', 'cellulose gum', 'carbomer', 'sodium saccharin', 'mica', 'titanium dioxide', 'blue 1.']","Crest Kid's Cavity Protection Toothpaste Pump (children and toddlers 2+), Sparkle Fun Flavor, 4.2 ounces",$3.47 ,147,47,4,2,0,1
331,46120290,['Stannous Fluoride 0.4% (w/w)'],[],"Colgate Gel-Kam Fluoride Preventative Fruit & Berry Flavor Treatment Gel, 4.3 Oz.",$14.99 ,206,5,0,0,0,0
332,48664159,[''],[],Pepsodent Complete Care Toothpaste Original Flavor 6 oz (Pack of 4),$11.07 ,1,1,1,0,0,0
333,26960944,"['Calcium Carbonate', 'Glycerin (Vegetable Derived)', 'Water (Aqua)', 'Melaleuca Alternifolia (Tea Tree) Leaf Distillate', 'Sodium Coco-Sulfate', 'Carrageenan (Plant Derived),&nbsp;Foeniculum Vulgare (Fennel)&nbsp;Oil', 'Sodium Bicarbonate', 'Eco-Harvest Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Sea Salt. 100% Vegan.No Animal Derived Ingredients Animal Testing Parabens Sweeteners Harsh Abrasives Artificial Fragrances or Dyes Petroleum Compounds: Mineral Oil', 'Petrolatum or Paraffin SLS PEGS', 'PPG', 'MEA', 'DEA or TEA Glycols Phthalates Yes Vegetarian/Vegan Recyclable Gluten Free Biodegradable Renewable Sources Cruelty Free']",[],"Desert Essence Natural Tee Tree Oil Fluoride-Free Toothpaste, Fennel, 7 Oz",$9.58 ,206,44,9,0,1,0
334,49657187,"['Functional Ingredients: xylitol (25%)', 'papain (whitening) Ingredients: water', 'xylitol (25%)', 'hydrated silica', 'glycerin', 'sorbitol', 'sodium bicarbonate', 'calcium carbonate', 'sodium carbonate', 'melia azadirachta extract (neem)', 'melaleuca alternifolia (tea tree) leaf oil', 'gaultheria procumbens (wintergreen) leaf oil', 'natural mint flavor', 'papain', 'gum xanthan', 'sodium coco-sulfate.']",[],"Now XyliWhite Fluoride Free Toothpaste, Neem & Tea Tree, 6.4 Oz",$8.25 ,206,2,0,0,0,0
335,380497526,[''],[],"2 Pack - Crest Whitening Plus Scope Toothpaste Liquid Gel, Minty Fresh 4.60 oz",$11.36 ,206,119,30,6,5,14
336,106017495,[' Stannous fluoride 0.454% (0.16% w/v fluoride ion) '],"['glycerin', 'hydrated silica', 'sodium hexametaphosphate', 'propylene glycol', 'PEG-6', 'water', 'zinc lactate', 'flavor', 'trisodium phosphate', 'sodium gluconate', 'sodium lauryl sulfate', 'carrageenan', 'sodium saccharin', 'stannous chloride', 'gum xanthan', 'titanium dioxide', 'mica', 'blue 1']","Crest Pro-Health Advanced Gum Protection Toothpaste, .85 oz",$0.98 ,151,97,33,16,6,11
337,335358419,[''],[],Natural Intensive Stain Remover Whitening Baking Soda Toothpaste Press Type Passion Fruit,$10.99 ,109,0,1,0,0,0
338,423818055,"['Active Ingredients: Potassium Nitrate (5%)', 'Sodium Fluoride (0.24% (0.15% w/v Fluoride Ion)). Purpose: Antisensitivity', 'Anticavity.']",[],Colgate Enamel Health Multi-Protection 6 Oz. Cool Mint Gel Toothpaste,$0.25 ,206,40,6,0,0,0
339,707564104,[''],[],"3 Pack - Rembrandt Whitening Toothpaste Intense Stain, Mint 3.52 oz",$28.01 ,15,70,12,1,3,5
340,531680891,[''],[],"Polident Dentu Creme Denture Cleansing Toothpaste - 3.9 Oz, 2 Pack",$10.81 ,128,2,0,0,0,0
341,957670297,[''],[],"Crest Kid's Toothpaste, Sparkle Fun (4.6 oz, 5 pk.)",$9.91 ,818,2,0,0,0,0
342,25524965,"['Calcium Carbonate', 'Aqua (Water)', 'Glycerin', 'Sodium Cocoyl Glutamate', 'Mentha Piperita (Peppermint) Oil', 'Carrageenan', 'Aloe Barbadensis Leaf Gel*', 'Bambusa Arundinacea Stem Powder', 'Carum Petroselinum (Parsley) Extract', 'Citrus Grandis (Grapefruit) Seed Extract', 'Perilla Ocymoides Seed Extract', 'Stevia Rebaudiana Extract', 'Silica', 'Sodium Bicarbonate.*Certified Organic Ingredient.']",[],"JASON Powersmile Whitening Toothpaste, 6 Ounce Tube",$9.29 - $9.56,206,74,9,4,2,3
343,55335253,[' Sodium fluoride 0.243% (0.16% w/v fluoride ion) \\n'],"['glycerin', 'hydrated silica', 'sodium hexametaphosphate', 'water', 'PEG-6', 'flavor', 'trisodium phosphate', 'sodium lauryl sulfate', 'carrageenan', 'cocamidopropyl betaine', 'sodium saccharin', 'sucralose', 'gum xanthan', 'titanium dioxide', 'mica']","Crest 3D White Diamond Strong Brilliant Mint Toothpaste, 3.5 Ounce",$4.76 ,1869,40,8,1,4,4
344,133120485,[''],[],"2 Pack - Polident Dentu-Creme Denture Toothpaste, 3.9 Oz Each",$11.51 ,128,6,1,0,0,1
345,26969159,"['Glycerin', 'Aqua', 'Hydrated Silica', 'Zinc Citrate', 'Xylitol', 'Natural Flavor', 'Vaccinium Macrocarpon (Cranberry Fruit)', 'Aloe Barbadensis (Leaf Juice)', 'Chondrus Crispus (Carrageenan)', 'Melaleuca Alternifolia (Tea Tree Leaf Oil)', 'Sorbic Acid', 'Stevia Rebaudiana (Leaf/Stem Extract)', 'Vaccinium Macrocarpon (Cranberry Seed Oil). &#13;&#10;&#13;&#10;This product contains no animal ingredients', 'artificial colors', 'or unnecessary chemicals and was not tested on animals.&#13;&#10;']",[],"Kiss My Face Kids Fluoride Free Toothpaste, Berry Smart, 4 Oz",$5.28 ,36,3,0,1,0,1
346,473563690,[''],[],Sensodyne Fresh Mint Toothpaste 4 oz Each,$12.06 ,16,6,2,0,0,0
347,973981214,[''],[],"Tom's Wicked Fresh! Spearmint Ice Toothpaste, 4.7oz, 2 Pack",$8.49 ,26,7,0,0,0,1
348,509125308,[''],[],Crest Cavity Protection Toothpaste Gel Cool Mint 8.20 oz,$7.89 ,206,105,22,4,1,0
349,352143127,[''],[],"Aquafresh Kids Toothpaste, Bubble Mint 4.60 oz",$5.23 ,109,2,0,0,0,0
