number,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
536227776,"Colgate Optic White Whitening Toothpaste, Icy Fresh - 3.5 ounce (2 pack)",$3.00,329,37,10,3,1,1
783082879,"Firefly LOL Surprise Kids' Smile Toothpaste, Toothbrush and Mouthwash Gift Pack",$9.88,56,53,2,0,1,0
531086898,"Burt's Bees Toothpaste with Fluoride, Enamel Care, Mountain Mint, 4.7 oz",$2.50,262,220,52,6,6,6
744678379,"Crest Pro-Health Whitening Power Toothpaste, 4.6 oz, Pack of 3",$6.97,115,5,1,0,0,0
866338008,SmartMouth Premium Toothpaste  3.4oz,$6.72,262,12,1,0,0,0
254262904,"Schmidt's Activated Charcoal with Wondermint Toothpaste, 4.7 oz",$4.79,206,125,49,21,14,8
400220351,"Crest 3D White, Whitening Toothpaste Deep Clean, 4.1 oz, Pack of 2",$6.97,329,42,11,1,0,0
16935625,"Crest Cavity Protection Regular Toothpaste, 6.4 oz, Pack of 3",$2.50,36,14,0,0,1,1
202444899,"Crest Pro-Health Gum Detoxify + Whitening Two- Step Toothpaste, 4.0 and 2.3 oz",$12.80,262,2453,2010,901,282,141
629174582,"Crest Pro-Health Advanced Gum Protection Toothpaste, 5.1 oz, Pack of 3",$10.49,151,3,0,0,0,0
465518068,"Crest Pro-Health Gum and Sensitivity, Sensitive Toothpaste, Gentle Whitening, 4.1 oz",$6.97,262,35,11,2,0,0
10316814,"Sensodyne Tartar Control plus Whitening Fluoride Toothpaste for Sensitive Teeth, 4 ounces",$5.69,36,32,7,0,0,0
26965370,Tom's Of Maine Peppermint Baking Soda Toothpaste With Fluoride (5.5 Oz),$11.38,206,14,0,0,0,0
166425880,"Tom's of Maine Antiplaque & Whitening Fluoride-Free Toothpaste, Peppermint, 5.5 Ounce, Pack of 2",$14.09,206,15,1,2,0,0
254747556,"Colgate Total Toothpaste, Clean Mint, 4.8oz 4pk",$24.37,36,201,63,13,8,173
10312168,"Crest Tartar Protection Whitening Cool Mint Flavor Toothpaste, 6.4 oz",$1.96 - $17.32,262,12,9,3,0,1
858046241,"Colgate Total Toothpaste, Clean Mint, 4.8 oz. 3-pack - Paste",$7.27,36,217,69,18,9,177
143808460,"My Magic Mud Activated Charcoal Toothpaste, All Natural Whitening Toothpaste, Detoxifying Oral Care, Peppermint, 4 oz.",$7.97,329,656,297,115,52,30
666267496,Tom's Of Maine Silly Strawberry Anticavity Toothpaste 3 Pack,$9.87,36,37,11,0,3,3
47932060,"Sensodyne Sensitive Teeth Whitening, True White Mint, Sensitivity Toothpaste, 3 ounce",$5.98,36,52,15,6,2,1
364485081,Sensodyne Rapid Relief Extra Whitening Toothpaste with Flouride 3.4oz,$5.72,206,4,0,0,0,0
818762042,"Rembrandt Intense Stain Whitening Toothpaste with Fluoride, Mint Flavor - 3.5 oz",$5.97,262,28,4,1,0,1
586178344,"Crest 3D White Whitening Therapy Toothpaste, Spearmint Oil, 4.1 oz",$3.50,329,397,162,55,33,17
